worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_2_contributors
6329782,3430360,6,3,6,0,clixsense,IDN,04,Jakarta,114.4.79.158,,,0,,0.5,360,1.0
6591664,3801006,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
9954345,4331295,6,4,6,0,clixsense,IND,07,New Delhi,120.59.66.192,,,0,,0.3333,360,1.0
11029445,8FE4D2767C8E3A98DD6A67EA287D2489,12,1,7,0,neodev,USA,"","",99.196.44.203,,,0,,0.8571,360,1.0
11034490,A49649E23956D3B82BFA95FAD8D0CB36,30,0,10,0,neodev,PHL,D9,Pasig City,180.191.118.222,,,0,,1.0,360,1.0
11598752,4C4348670C5CBD7FAADFB62A30C6BB71,6,1,6,0,neodev,,,"",104.219.204.172,,,0,,0.8333,360,1.0
12337397,3E8C0FE6318455BC044935D48A84480F,60,2,15,0,neodev,IDN,07,Semarang,222.124.21.42,,,0,,0.8667,360,1.0
12383470,DD8DB01C08BD2D2E41A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
12659739,79BB752E35C102170FA9E28369487118,24,3,9,0,neodev,IDN,30,Bandung,180.253.20.137,,,0,,0.6667,360,1.0
12778864,3877939,6,2,6,0,clixsense,VEN,"","",190.39.66.163,,,0,,0.6667,360,1.0
13060883,B0BEAA402A54303BDD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
13919775,4795609,228,5,43,0,clixsense,IDN,30,Tangerang,180.250.88.122,,,0,,0.8837,360,1.0
14311647,4848683,16,0,8,0,clixsense,IDN,04,Jakarta,114.4.77.243,,,0,,1.0,320,1.0
14555684,4884302,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
16104268,5097514,6,4,6,0,clixsense,PHL,38,Antipolo,49.148.84.177,,,0,,0.3333,360,1.0
16437473,8ED1A0E74D1692BD93CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
17209680,5266573,136,2,28,0,clixsense,DEU,"","",91.1.120.128,,,0,,0.9286,453,1.0
17331935,5287289,12,1,7,0,clixsense,MYS,12,Klang,210.195.51.174,,,0,,0.8571,360,1.0
17652709,5341324,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
17708868,5324406,6,2,6,0,clixsense,SRB,"","",46.17.151.15,,,0,,0.6667,360,1.0
17839436,A69813B0DDA5DBD193CA06397A287A80,6,2,6,0,neodev,PHL,"","",112.198.103.186,,,0,,0.6667,0,1.0
18146452,938D786031B481E5BD9CE4BD64DFB8C1,6,3,6,0,neodev,IND,02,Hyderabad,103.15.63.229,,,0,,0.5,0,1.0
19130982,5560855,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
19629221,5634172,90,3,20,0,clixsense,IND,19,Hassan,117.239.139.113,,,0,,0.85,360,1.0
19834898,B1FB439039B82D172BFA95FAD8D0CB36,6,2,6,0,neodev,IND,02,Hyderabad,106.66.140.137,,,0,,0.6667,0,1.0
19953423,117615,36,0,11,0,tremorgames,IDN,"","",114.124.29.253,,,0,,1.0,360,1.0
20043586,SMichelle22,6,2,6,0,instagc,USA,NY,Gansevoort,67.248.253.125,,,0,,0.6667,360,1.0
20113482,900,6,0,6,0,points4rewards,USA,PA,Harrisburg,204.14.14.230,,,0,,1.0,360,1.0
20419747,2448A5B693BD3EBF41A29D4352C72707,66,5,16,0,neodev,VNM,20,Ho Chi Minh City,1.52.188.53,,,0,,0.6875,440,1.0
20645396,4050D9F31F71EE500FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
21110164,56440,84,1,19,0,gifthunterclub,CHL,12,Santiago,186.79.35.51,,,0,,0.9474,360,1.0
21406883,5934195,6,3,6,0,clixsense,PHL,"","",121.54.54.174,,,0,,0.5,360,1.0
21776599,5999647,6,4,6,0,clixsense,NLD,11,Oegstgeest,145.53.229.200,,,0,,0.3333,360,1.0
22074411,6052066,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
22102426,6056624,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
22501020,A12C298763C7936A6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
24118190,F7A9AE4FD96CEEE7DD6A67EA287D2489,6,3,6,0,neodev,VEN,"","",190.207.151.202,,,0,,0.5,0,1.0
24296157,6227136,12,1,7,0,clixsense,HRV,21,Zagreb,89.164.179.233,,,0,,0.8571,360,1.0
24321333,78547975AE183A8B0DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
27165514,BBD7A5E95C9058E824750D543524A854,36,4,11,0,neodev,PHL,"","",121.54.54.224,,,0,,0.6364,360,1.0
27423910,6440903,36,2,11,0,clixsense,PHL,D9,Mandaluyong,180.191.146.108,8/26/2015 05:02:03,8/26/2015 05:02:03,0,Triggered judgment distribution rule 'acceptable_distribution' on field 'verify_relationship',0.8182,360,1.0
27555842,87C8DA85ECF2F21F24750D543524A854,66,0,16,0,neodev,ARG,"","",181.10.47.77,,,0,,1.0,360,1.0
27597779,0CD66CFF70DC76F824750D543524A854,336,8,61,0,neodev,CAN,AB,Calgary,68.146.86.137,,,0,,0.8689,517,1.0
28101816,6519497,48,1,13,0,clixsense,ITA,07,Vetralla,78.159.216.45,,,0,,0.9231,360,1.0
28524232,mr3cho,0,0,0,0,instagc,,,,,,,0,,1.0,0,1.0
28535762,A8C166BD8BD704992BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
28575991,6581615,6,3,6,0,clixsense,MKD,41,Skopje,46.217.87.96,,,0,,0.5,360,1.0
28584099,E1A9CF3720AF586F0FA9E28369487118,186,2,36,0,neodev,VEN,07,Valencia,190.142.26.39,,,0,,0.9444,360,1.0
28689847,6573782,6,2,6,0,clixsense,CHL,06,Concepcion,190.100.123.178,,,0,,0.6667,360,1.0
29150840,B6F9646246F845492BFA95FAD8D0CB36,42,3,12,0,neodev,PHL,"","",121.54.54.224,,,0,,0.75,360,1.0
29224065,32947E1FE4381CF72BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
29226888,E555FC31E10E2F79044935D48A84480F,6,3,6,0,neodev,IND,02,Hyderabad,115.98.16.186,,,0,,0.5,0,1.0
29325954,6689393,6,5,6,0,clixsense,PHL,F2,Quezon City,203.215.122.161,,,0,,0.1667,0,1.0
29363730,367,0,0,0,0,imerit_india,,,,,,,0,,1.0,0,1.0
29397502,6700548,6,2,6,0,clixsense,PHL,C8,Iligan City,49.145.78.203,,,0,,0.6667,360,1.0
29429572,352,0,0,0,0,imerit_india,,,,,,,0,,1.0,0,1.0
29525686,310,0,0,0,0,imerit_india,,,,,,,0,,1.0,0,1.0
29658778,79E38E6EA911D3C26964A2442E880D82,30,0,10,0,neodev,BGD,84,Chittagong,119.18.148.132,,,0,,1.0,360,1.0
29843084,6780073,6,2,6,0,clixsense,MEX,16,Morelia,187.134.74.74,,,0,,0.6667,0,1.0
29847126,2D4C25C84AE4E6C124750D543524A854,426,3,76,0,neodev,VEN,25,Caracas,190.94.235.191,,,0,,0.9605,548,1.0
29866608,388,0,0,0,0,imerit_india,,,,,,,0,,1.0,0,1.0
30057720,6D55AA7AED159AB02BFA95FAD8D0CB36,71,2,17,0,neodev,IND,24,Banswara,117.253.74.35,,,0,,0.8824,355,1.0
30209667,D378DB6924CAA80324750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
30275561,6871753,6,3,6,0,clixsense,IDN,04,Jakarta,120.29.155.251,,,0,,0.5,0,1.0
30334906,6756880,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
30431322,C7962E08C2C5C3CF41A29D4352C72707,6,4,6,0,neodev,IND,07,Delhi,1.187.213.244,,,0,,0.3333,360,1.0
30487799,39497,18,3,8,0,elite,IDN,"","",112.215.123.181,,,0,,0.625,360,1.0
30518032,E8802EA04C50D5F7BD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
30522287,39976,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
30553383,6942602,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
30582509,40780,6,2,6,0,elite,IND,25,Chennai,122.164.27.114,,,0,,0.6667,0,1.0
30680632,1000135,35,0,11,0,tremorgames,ARG,07,Buenos Aires,186.23.201.0,,,0,,1.0,360,1.0
30688710,42409,6,3,6,0,elite,IDN,"","",112.215.123.151,,,0,,0.5,360,1.0
30849355,5DFDBADB3439861593CA06397A287A80,6,2,6,0,neodev,BGD,81,Dhaka,180.234.61.10,,,0,,0.6667,360,1.0
31035666,7070271,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
31304413,2319987,60,0,15,0,clixsense,CAN,BC,Kelowna,66.183.36.177,,,0,,1.0,360,1.0
31334071,7148194,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
31372011,7157239,30,1,10,0,clixsense,HRV,21,Zagreb,89.164.230.129,,,0,,0.9,360,1.0
31508978,FC6106D21BC7AC646964A2442E880D82,42,1,12,0,neodev,VEN,"","",190.77.83.47,,,0,,0.9167,360,1.0
31576377,02ADF269996DD0C324750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
31576730,7209522,96,1,21,0,clixsense,IDN,30,Bandung,118.97.184.205,,,0,,0.9524,360,1.0
31649759,A5E6C69BC3C5B9A5DD6A67EA287D2489,6,3,6,0,neodev,VEN,"","",190.39.249.72,,,0,,0.5,360,1.0
31655691,7168317,6,2,6,0,clixsense,PHL,"","",49.149.199.224,,,0,,0.6667,0,1.0
31786344,F8051D1538073EFEDD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
31791015,7269797,6,6,6,0,clixsense,MAR,45,Casablanca,196.206.187.35,,,0,,0.0,0,1.0
31802651,7273463,6,2,6,0,clixsense,IND,19,Bangalore,106.51.241.37,,,0,,0.6667,0,1.0
31822324,7279833,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
31869798,494,0,0,0,0,imerit_india,,,,,,,0,,1.0,0,1.0
31988911,30BD8D48FE756C26044935D48A84480F,6,0,6,0,neodev,USA,CA,Saratoga,107.178.42.68,,,0,,1.0,360,1.0
32015437,8000000001273087476,0,0,0,0,superrewards,,,,,,,0,,1.0,0,1.0
32024762,62028,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
32035917,7340978,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
32122303,F14E0C226D61111041A29D4352C72707,6,2,6,0,neodev,VNM,20,Ho Chi Minh City,113.172.117.148,,,0,,0.6667,0,1.0
32189412,7382604,6,4,6,0,clixsense,IND,16,Mumbai,116.203.77.227,,,0,,0.3333,360,1.0
32193964,F2773C544A845BF20FA9E28369487118,6,2,6,0,neodev,MKD,E2,Ohrid,77.28.36.56,,,0,,0.6667,360,1.0
32207547,BE1ECD1284410BBF2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
32261430,7399096,461,14,83,0,clixsense,PHL,D9,Makati,222.127.255.18,,,0,,0.8313,413,1.0
32285573,CFE869278BF195226964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
32387530,069477C761C74680044935D48A84480F,12,0,7,0,neodev,SRB,00,Nis,178.79.42.7,,,0,,1.0,360,1.0
32426688,7406633,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
32494725,7390674,6,0,6,0,clixsense,IND,"","",106.78.67.158,,,0,,1.0,360,1.0
32541786,569BA50473985ABF41A29D4352C72707,66,3,16,0,neodev,IND,07,New Delhi,122.160.9.84,,,0,,0.8125,360,1.0
32592932,7503004,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
32603741,7506375,6,3,6,0,clixsense,FRA,B6,Soissons,83.156.36.94,,,0,,0.5,360,1.0
32632027,94147F2090B876F941A29D4352C72707,306,2,56,0,neodev,MEX,11,Irapuato,187.205.242.154,,,0,,0.9643,184,1.0
32664120,7C5D36BDC43A444F2BFA95FAD8D0CB36,234,2,44,0,neodev,VEN,25,Caracas,190.72.148.117,,,0,,0.9545,360,1.0
32729198,F8BE8DD3675199DA93CA06397A287A80,102,1,22,0,neodev,COL,34,Bogotá,190.84.150.109,,,0,,0.9545,360,1.0
32739137,7551217,6,2,6,0,clixsense,IDN,07,Semarang,36.73.138.190,,,0,,0.6667,360,1.0
32847124,7586510,12,0,7,0,clixsense,ROU,25,Sighetu Marmatiei,79.119.71.176,,,0,,1.0,360,1.0
32932483,FBEA87C3A9F89958BD9CE4BD64DFB8C1,12,2,7,0,neodev,VEN,"","",190.75.82.169,,,0,,0.7143,360,1.0
33090859,4BFB95F625BE2AC50DD4E15F98F7C799,174,4,34,0,neodev,SRB,"","",93.87.24.129,,,0,,0.8824,402,1.0
33163510,92DF51A5F4BE5C7DBD9CE4BD64DFB8C1,12,0,7,0,neodev,VEN,"","",201.210.214.15,,,0,,1.0,360,1.0
33269858,7A20851EED0F2F6D6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
33292218,C3B7E68E8B7921A341A29D4352C72707,180,6,35,0,neodev,VEN,"","",190.199.97.165,,,0,,0.8286,373,1.0
33298556,74056,6,4,6,0,elite,VNM,20,Ho Chi Minh City,115.76.81.89,,,0,,0.3333,360,1.0
33307915,7734493,42,2,12,0,clixsense,MEX,09,Mexico,187.189.209.223,8/26/2015 05:04:08,8/26/2015 05:04:08,0,Triggered judgment distribution rule 'acceptable_distribution' on field 'verify_relationship',0.8333,360,1.0
33313831,827D397C064099A741A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
33334804,A0C541FF9A8BB9460FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
33341569,7743229,6,3,6,0,clixsense,PHL,D9,San Juan,112.198.77.126,,,0,,0.5,360,1.0
33455574,D9C29648A3DB7A1F044935D48A84480F,24,0,9,0,neodev,VEN,"","",201.210.91.240,,,0,,1.0,360,1.0
33465264,537CF08D11E07D226964A2442E880D82,6,2,6,0,neodev,VEN,"","",200.84.192.25,,,0,,0.6667,360,1.0
33498392,BA8EFC2BEB9687142BFA95FAD8D0CB36,6,0,6,0,neodev,PHL,"","",121.54.58.240,,,0,,1.0,0,1.0
33527181,442CB406B5952BB5DD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
33549036,29FEAB4D9D0585220FA9E28369487118,6,2,6,0,neodev,VEN,"","",190.201.157.208,,,0,,0.6667,360,1.0
33583116,2A0978FBFA80D3392BFA95FAD8D0CB36,60,3,15,0,neodev,VEN,"","",190.76.22.212,,,0,,0.8,360,1.0
33594629,7809023,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
33636762,CFA0ABD828D9946F24750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
33664942,2AF57DE1B1EC92C4DE1C1F776E860E31,6,2,6,0,neodev,EGY,11,Cairo,41.239.215.174,,,0,,0.6667,0,1.0
33728643,7797497,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
33789319,BFA35DFEDD7029F25213CA1A0E82036F,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
33797055,7EFBFDC672AD099E890DB111AF121511,6,3,6,0,neodev,VEN,07,Valencia,200.84.156.135,,,0,,0.5,0,1.0
33833770,77666,6,3,6,0,elite,VNM,44,Hanoi,171.233.212.232,,,0,,0.5,360,1.0
33843060,7872271,42,2,12,0,clixsense,COL,34,Bogotá,186.145.72.235,,,0,,0.8333,360,1.0
33870718,5065747FFC3945795A177E0B4883CD7E,63,2,16,0,neodev,VEN,"","",190.205.76.170,,,0,,0.875,360,1.0
33924850,65123,78,4,18,0,elite,IND,16,Panvel,111.119.197.21,,,0,,0.7778,360,1.0
34195998,83338,122,5,26,0,elite,IND,16,Mumbai,183.87.33.231,,,0,,0.8077,385,1.0
